"Framework","n","mean","sd","median","min","max","normal_dist","variable"
"Android",3000,8.76,23.85,2,0,619,"No","Bugs"
"React",3000,7.18,38.58,1,0,961,"No","Bugs"
"Android",3000,501.48,1549.8,165,0,40383,"No","CodeSmell"
"React",3000,197.56,714.73,45,0,13789,"No","CodeSmell"
"Android",3000,4079.43,12871.83,1225.5,0,433485,"No","Debt"
"React",3000,2029.93,13756.38,266,0,524549,"No","Debt"
"Android",3000,8.53,11.03,5,0,89.4,"No","Duplication"
"React",3000,9.09,14.37,3.9,0,98.7,"No","Duplication"
"Android",3000,1248.13,4161.93,251.5,0,99151,"No","DuplicatedLines"
"React",3000,1760.8,10371.12,128,0,253953,"No","DuplicatedLines"
"Android",3000,62.44,205.25,13,0,4302,"No","DuplicatedBlocks"
"React",3000,76.77,476.94,4,0,17764,"No","DuplicatedBlocks"
"Android",3000,16.29,38.65,6,0,874,"No","DuplicatedFiles"
"React",3000,10.12,29.71,2,0,776,"No","DuplicatedFiles"
"Android",3000,7920.86,16076.92,3145.5,20,171997,"No","LinesOfCode"
"React",3000,6817.37,17473.4,2279,3,282815,"No","LinesOfCode"
"Android",3000,12633.19,27178.25,4305.5,27,338235,"No","TotalLines"
"React",3000,9115.01,36802.75,2768,6,1600193,"No","TotalLines"
"Android",3000,3526.76,7141.73,1383,4,87351,"No","NumberOfStatements"
"React",3000,2016.89,7824.49,385,0,158541,"No","NumberOfStatements"
"Android",3000,669.88,1585.98,181,1,23879,"No","NumberOfFunctions"
"React",3000,517.89,1563.75,141,0,28103,"No","NumberOfFunctions"
"Android",3000,99.48,199.16,41,1,3322,"No","NumberOfClasses"
"React",3000,21.35,83.77,5,0,1743,"No","NumberOfClasses"
"Android",3000,76.89,144.28,33,1,2208,"No","NumberOfFiles"
"React",3000,79.75,188.6,34,1,6128,"No","NumberOfFiles"
"Android",3000,1406.75,3164.65,468,2,33724,"No","CyclomaticComplexity"
"React",3000,1019.76,3681.81,238,0,67941,"No","CyclomaticComplexity"
"Android",3000,1088.38,2763.54,317,0,49566,"No","CognitiveComplexity"
"React",3000,1308.74,11439.65,89,0,483235,"No","CognitiveComplexity"
