"mw.p.value","mw.estimate","effect_size.dataset.Bugs.","variable"
3.51252469659956e-40,0.999996653898586,"0.272 (small)","Bugs"
1.83545543835711e-176,82.9999447657932,"0.712 (large)","CodeSmell"
1.69833099242155e-234,723.000013854168,"0.747 (large)","Debt"
7.64373161617711e-24,39.999949115426,"0.203 (small)","DuplicatedLines"
3.22789519613503e-48,3.99996115776929,"0.327 (small)","DuplicatedBlocks"
1.40357549275326e-55,2.00001117850351,"0.44 (medium)","DuplicatedFiles"
1.24562484734918e-18,539.000005607806,"0.843 (large)","LinesOfCode"
7.99375247924587e-44,1171.00000811459,"0.822 (large)","TotalLines"
2.39863534216093e-192,694.000024603688,"0.803 (large)","NumberOfStatements"
5.45082758280394e-13,28.0000645357986,"0.363 (small)","NumberOfFunctions"
0,29.9999595229595,"0.849 (large)","NumberOfClasses"
0.451051257671912,-0.999953802173117,"-0.0473 (large)","NumberOfFiles"
5.48656383600184e-68,147.999918303664,"0.721 (large)","CyclomaticComplexity"
2.50712199608494e-132,141.999984325215,"0.67 (large)","CognitiveComplexity"
